"SGG 행정구역별",T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개)
"SGG 행정구역별",Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
"35030 익산시",670,657,634,636,671,678,663,645,628,611,594
"35040 정읍시",203,180,212,171,203,198,193,193,181,177,177
"35050 남원시",146,151,119,125,121,123,119,120,116,115,109
"35060 김제시",123,107,101,95,95,94,92,93,93,96,93
"35310 완주군",106,112,101,408,110,116,127,134,140,149,151
"35320 진안군",13,14,13,11,11,10,10,10,10,10,10
"35330 무주군",17,17,19,18,16,13,15,18,18,17,19
"35340 장수군",13,12,12,15,15,14,13,14,13,12,12
"35350 임실군",25,24,23,24,24,22,17,16,16,16,12
"35360 순창군",28,26,25,21,19,19,19,18,20,19,20
"35370 고창군",61,59,58,54,51,54,52,50,53,48,48
"35380 부안군",70,71,69,58,58,55,54,54,53,51,51
"36 전라남도",2891,2845,2787,2853,2737,2652,2797,2691,2703,2687,2677
"36010 목포시",494,519,568,508,549,514,508,491,485,475,462
"36020 여수시",707,706,641,605,597,573,568,551,523,502,500
"36030 순천시",585,533,502,502,539,483,553,518,542,539,535
"36040 나주시",69,66,63,63,68,84,163,132,161,164,169
"36060 광양시",267,251,267,277,275,260,264,254,256,258,248
"36310 담양군",27,22,20,18,16,16,14,14,13,13,16
"36320 곡성군",29,32,31,29,25,26,26,23,25,21,20
"36330 구례군",25,25,25,22,22,18,20,20,21,24,23
"36350 고흥군",51,51,47,50,52,50,51,51,46,50,48
"36360 보성군",41,42,36,37,35,32,33,28,27,26,23
"36370 화순군",104,104,102,92,93,96,88,83,83,80,75
"36380 장흥군",25,25,24,26,26,26,28,31,26,28,32
"36390 강진군",37,36,32,31,30,30,32,27,28,26,27
"36400 해남군",62,62,62,62,63,63,61,64,64,62,60
"36410 영암군",69,62,62,226,49,57,56,49,45,48,46
"36420 무안군",80,95,97,107,113,136,146,160,172,188,210
"36430 함평군",25,24,22,20,20,19,19,16,16,15,16
"36440 영광군",67,66,70,68,61,65,66,72,67,68,67
"36450 장성군",49,47,43,40,38,38,36,38,38,36,35
"36460 완도군",49,48,47,42,37,36,33,34,33,35,37
"36470 진도군",22,23,21,21,22,23,26,27,24,22,21
"36480 신안군",7,6,5,7,7,7,6,8,8,7,7
"37 경상북도",3735,3696,3594,3842,3507,3568,3677,3540,3542,3529,3551
"37010 포항시",824,823,806,798,782,769,796,762,764,754,761
"37020 경주시",398,398,363,367,349,358,358,344,343,333,339
"37030 김천시",126,122,127,122,124,127,136,131,125,122,127
"37040 안동시",225,228,229,218,227,235,245,248,252,243,240
"37050 구미시",839,864,817,829,777,843,877,829,822,825,832
"37060 영주시",180,186,176,173,178,175,175,167,169,169,168
"37070 영천시",105,98,96,93,90,87,104,94,85,90,83
"37080 상주시",122,113,116,111,114,108,112,108,104,97,96
"37090 문경시",103,98,99,90,85,86,83,82,85,83,83
"37100 경산시",318,286,293,315,319,317,331,331,353,369,376
"37310 군위군",11,8,8,8,6,8,8,8,6,6,6
"37320 의성군",20,21,22,22,21,21,22,18,17,17,17
