Code,Year,Sum
34020,2014,143
11020,2012,142
34030,2013,142
38080,2018,142
31270,2017,142
38080,2021,141
21020,2012,141
21020,2011,141
31320,2011,140
35310,2019,140
22040,2016,140
31270,2018,140
21310,2014,140
32040,2021,139
22030,2020,139
32040,2020,138
34020,2013,138
32040,2017,138
34020,2015,137
11030,2021,137
34030,2011,137
34060,2011,137
36420,2016,136
23010,2020,136
37030,2017,136
34360,2019,136
22030,2021,136
31270,2011,136
31270,2015,136
32040,2015,135
31270,2012,135
11020,2013,135
31270,2013,134
35310,2018,134
34020,2017,133
36040,2018,132
31270,2019,132
34020,2018,132
34030,2017,131
34020,2016,131
37030,2018,131
34030,2016,130
34060,2017,130
22040,2017,130
11020,2014,129
31320,2012,129
21020,2013,129
34030,2018,128
21120,2017,128
31270,2020,128
11020,2017,128
32060,2017,128
35310,2017,127
22040,2018,127
11020,2016,127
34060,2018,127
37030,2021,127
37030,2013,127
37030,2016,127
34360,2018,126
32060,2019,126
37030,2011,126
11020,2015,126
22040,2019,126
37030,2019,125
31320,2013,125
35050,2014,125
32040,2016,125
34030,2015,124
21310,2012,124
34060,2016,124
33310,2012,124
31270,2021,124
37030,2015,124
34030,2019,124
34360,2017,124
34020,2019,124
31280,2020,123
35060,2011,123
32060,2016,123
35050,2016,123
22040,2020,123
33310,2013,122
37030,2020,122
34030,2020,122
37030,2014,122
37030,2012,122
34030,2012,122
34060,2021,122
34060,2019,122
37080,2011,122
21020,2014,122
34030,2014,121
34020,2020,121
21310,2013,121
34360,2011,121
34060,2012,121
35050,2015,121
31280,2021,120
34030,2021,120
21020,2015,120
34360,2012,120
35050,2018,120
31280,2018,120
21310,2011,119
34060,2020,119
11020,2018,119
22040,2012,119
35050,2013,119
35050,2017,119
32060,2015,118
11020,2019,118
21040,2011,118
21020,2021,117
32060,2020,117
34360,2016,117
35050,2019,116
35310,2016,116
37080,2013,116
32060,2018,116
35050,2020,115
31280,2014,115
34370,2011,115
21020,2016,114
31280,2016,114
32070,2012,114
37080,2015,114
32060,2021,114
34060,2013,113
37080,2012,113
34020,2021,113
31270,2014,113
36420,2015,113
34060,2014,113
31280,2017,113
21020,2020,113
37080,2017,112
35310,2012,112
31080,2011,111
34060,2015,111
37080,2014,111
31280,2019,111
21020,2019,110
34360,2014,110
35310,2015,110
22040,2021,110
11020,2020,109
35050,2021,109
21020,2017,108
37080,2016,108
37080,2018,108
21040,2012,108
21020,2018,108
23010,2019,108
34360,2013,108
35060,2012,107
36420,2014,107
31080,2012,106
35310,2011,106
38390,2012,105
37070,2011,105
31080,2013,105
34370,2012,105
31080,2014,105
37080,2019,104
36370,2012,104
36370,2011,104
37070,2017,104
31380,2021,104
37090,2011,103
34360,2015,103
33370,2012,102
36370,2013,102
21030,2011,101
34380,2018,101
23010,2018,101
35310,2013,101
35060,2013,101
38390,2011,100
31080,2015,100
31380,2020,100
33350,2020,99
33370,2013,99
37090,2013,99
33370,2017,99
31080,2017,99
38390,2014,99
21040,2013,98
37070,2012,98
37090,2012,98
33350,2021,98
31080,2019,98
38390,2015,97
36420,2013,97
37080,2020,97
37080,2021,96
31080,2016,96
35060,2020,96
32070,2011,96
36370,2016,96
34370,2013,96
37070,2013,96
31080,2018,96
21040,2014,95
35060,2014,95
35060,2015,95
36420,2012,95
38390,2013,95
33370,2014,95
37070,2018,94
35060,2016,94
35060,2021,93
37070,2014,93
36370,2015,93
35060,2018,93
35060,2019,93
33350,2019,93
23010,2017,93
21040,2015,93
34320,2011,92
33370,2016,92
38390,2016,92
36370,2014,92
31080,2021,92
35060,2017,92
34370,2014,91
11020,2021,91
31380,2019,91
37070,2015,90
31080,2020,90
33370,2015,90
37070,2020,90
37090,2014,90
32070,2013,89
32310,2011,89
31380,2018,88
21120,2016,88
23010,2016,88
32310,2012,88
33370,2018,88
36370,2017,88
21010,2020,87
32310,2013,87
37070,2016,87
33350,2018,87
38350,2017,86
31380,2012,86
21040,2017,86
21040,2016,86
37090,2016,86
33370,2020,85
23030,2011,85
31380,2011,85
34370,2016,85
33350,2015,85
37070,2019,85
32310,2016,85
37090,2015,85
37090,2019,85
38390,2018,85
38390,2017,84
36040,2016,84
33350,2011,84
33370,2019,84
37090,2017,83
37090,2020,83
32310,2014,83
38390,2021,83
31110,2021,83
37070,2021,83
21030,2012,83
37090,2021,83
36370,2019,83
36370,2018,83
31380,2013,83
32310,2015,83
38320,2017,82
34370,2017,82
37090,2018,82
33370,2021,82
21030,2013,81
21040,2018,81
21030,2017,81
37370,2014,81
33350,2012,81
34370,2015,81
23010,2015,81
32310,2017,81
32310,2018,81
38340,2014,80
31380,2017,80
33350,2017,80
32070,2014,80
31380,2015,80
36370,2020,80
21040,2019,80
36420,2011,80
33370,2011,80
32310,2019,79
38340,2011,79
38340,2012,79
31110,2019,79
38390,2020,79
21030,2015,79
21030,2016,79
38320,2018,79
31380,2014,78
38390,2019,78
38320,2019,78
33350,2016,78
38340,2013,78
32070,2016,77
32070,2015,77
34370,2018,77
38320,2020,77
31380,2016,76
31110,2018,76
38320,2012,76
31110,2020,76
33350,2014,76
21040,2021,76
33350,2013,76
21030,2014,76
34330,2012,75
38320,2016,75
21040,2020,75
31110,2017,75
34370,2019,75
34370,2020,75
38320,2011,75
31110,2016,75
38340,2015,75
36370,2021,75
32070,2017,74
21120,2015,74
32310,2021,74
34330,2011,73
32310,2020,73
38320,2015,73
21030,2019,73
36440,2018,72
38320,2021,72
38330,2012,72
21010,2011,71
35380,2012,71
38340,2016,71
32050,2011,70
